Date,Adj Close
2021-07-06,48.07374572753906
2021-07-07,48.39067077636719
2021-07-08,47.8360481262207
2021-07-09,48.786827087402344
2021-07-12,49.27212142944336
2021-07-13,48.59865188598633
2021-07-14,49.34144973754883
2021-07-15,49.757415771484375
2021-07-16,50.024818420410156
2021-07-19,48.3609619140625
2021-07-20,50.074344635009766
2021-07-21,49.73760986328125
2021-07-22,49.43058395385742
2021-07-23,49.836647033691406
2021-07-26,49.70789337158203
2021-07-27,50.44078826904297
2021-07-28,49.59895324707031
2021-07-29,49.64847183227539
2021-07-30,49.826744079589844
2021-08-02,49.66828155517578
2021-08-03,49.07404327392578
2021-08-04,48.529327392578125
2021-08-05,49.28202438354492
2021-08-06,49.22260284423828
2021-08-09,48.509517669677734
2021-08-10,47.806339263916016
2021-08-11,48.3609619140625
2021-08-12,48.459999084472656
2021-08-13,48.7400016784668
2021-08-16,48.540000915527344
2021-08-17,48.5099983215332
2021-08-18,48.75
2021-08-19,48.439998626708984
2021-08-20,48.97999954223633
2021-08-23,48.790000915527344
2021-08-24,48.939998626708984
2021-08-25,49.31999969482422
2021-08-26,49.849998474121094
2021-08-27,50.650001525878906
2021-08-30,51.02000045776367
2021-08-31,50.849998474121094
2021-09-01,51.439998626708984
2021-09-02,51.93000030517578
2021-09-03,51.9900016784668
2021-09-07,50.939998626708984
2021-09-08,51.400001525878906
2021-09-09,50.75
2021-09-10,49.880001068115234
2021-09-13,50.68000030517578
2021-09-14,50.15999984741211
2021-09-15,49.5
2021-09-16,49.560001373291016
2021-09-17,48.709999084472656
2021-09-20,48.970001220703125
2021-09-21,48.970001220703125
2021-09-22,49.43000030517578
2021-09-23,50.13999938964844
2021-09-24,49.810001373291016
2021-09-27,49.630001068115234
2021-09-28,49.58000183105469
2021-09-29,50.0
2021-09-30,48.45000076293945
2021-10-01,49.310001373291016
2021-10-04,50.91999816894531
2021-10-05,50.36000061035156
